,song_title,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Roller Coaster,Danny Vera,7rO7Pc5dkC2EIW1OKsCJtQ,0.4,0.383,9,-10.048,1,0.0279,0.51,0.00763,0.121,0.285,96.944
1,Bohemian Rhapsody - Remastered 2011,Queen,4u7EnebtmKWzUH433cf5Qv,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105
2,Hotel California - 2013 Remaster,Eagles,40riOy7x9W7GXjyGp4pjAv,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125
3,Piano Man,Billy Joel,3FCto7hnn1shUyZL42YgfO,0.334,0.472,0,-8.792,1,0.0277,0.6,3.77e-06,0.317,0.431,179.167
4,Stairway to Heaven - Remaster,Led Zeppelin,5CQ30WqJwcep0pYcV4AMNc,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433
5,Black,Pearl Jam,5Xak5fmy089t0FYmh3VJiY,0.36,0.684,4,-6.457,0,0.0308,0.323,0.0,0.34,0.2,77.15
6,Avond,Boudewijn de Groot,3n3F07lHLyRKwqg4q64eYA,0.456,0.37,0,-15.24,1,0.0405,0.617,0.000939,0.136,0.186,99.455
7,Fix You,Coldplay,7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178
8,Wish You Were Here,Pink Floyd,1HzDhHApjdjXPLHF6GGYhu,0.499,0.318,7,-13.776,1,0.0484,0.718,0.00104,0.379,0.282,121.499
9,Heroes - 2017 Remaster,David Bowie,7Jh1bpe76CNTCgdgAdBw4Z,0.49,0.758,7,-6.491,1,0.0297,0.000671,0.484,0.092,0.435,112.114
10,Love Of My Life - Remastered 2011,Queen,4YJUTdZ0Pgl0ZeNyHYXeLd,0.329,0.179,5,-11.589,1,0.0299,0.933,5.04e-06,0.115,0.255,154.175
11,Soldier On,DI-RECT,5U9iJk3ONTlZCSJrokOP1i,0.353,0.443,3,-7.561,1,0.0284,0.84,0.0,0.105,0.225,179.954
12,Purple Rain,Prince,54X78diSLoUDI3joC2bjMz,0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066
13,Africa,TOTO,2374M0fQpWi3dLnB54qaLX,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718
14,Child in Time,Deep Purple,21cp8L9Pei4AgysZVihjSv,0.331,0.34,9,-14.784,0,0.0369,0.313,0.607,0.234,0.365,126.672
15,November Rain,Guns N' Roses,3YRCqOhFifThpSRFJ1VWFM,0.294,0.641,11,-9.316,1,0.0291,0.0163,0.22,0.112,0.226,79.759
16,Nothing Else Matters,Metallica,0nLiqZ6A27jJri2VCalIUs,0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352
17,Brothers In Arms,Dire Straits,0CzeAbfKFnxnWjwo5iYiCG,0.413,0.296,8,-13.904,0,0.0277,0.531,0.801,0.183,0.144,79.273
18,Comfortably Numb - 2011 Remastered Version,Pink Floyd,7Fg4jpwpkdkGCvq1rrXnvx,0.472,0.366,11,-12.595,0,0.0286,0.15,0.308,0.0837,0.171,127.167
19,The Sound of Silence,Disturbed,1Cj2vqUwlJVG27gJrun92y,0.322,0.28,6,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794
20,The River,Bruce Springsteen,7HrzErXq3TsKOY1gmdIShB,0.587,0.536,7,-11.248,1,0.0304,0.179,2.75e-05,0.305,0.59,117.498
21,Oceaan,Racoon,4AUASx1KCTQFmpHu7qq6Kr,0.468,0.335,9,-7.888,1,0.0405,0.86,0.0,0.11,0.239,125.881
22,The Sound of Silence,Simon & Garfunkel,3YfS47QufnLDFA71FUsgCM,0.535,0.225,6,-13.865,1,0.0301,0.869,1.57e-06,0.0988,0.338,107.384
23,Thunderstruck,AC/DC,57bgtoPSgt236HzfBOd8kj,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52
24,Smells Like Teen Spirit,Nirvana,1f3yAtsJtY87CTmM8RLnxf,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761
25,Imagine - Remastered 2010,John Lennon,7pKfPomDEeI4TPT6EOYjn9,0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752
26,Sultans Of Swing,Dire Straits,37Tmv4NnfQeb0ZgUC4fOJj,0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174
27,"Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remastered Version",Pink Floyd,32dnKMni3I3gwUbWp4mi45,0.266,0.294,7,-11.938,0,0.0291,0.771,0.697,0.107,0.0397,137.941
